"subdivision","type","million_60kgs_bag","median_et","temp_c","rel_humid","wind_speed"
"Minas Gerais","Arabica",16.2,955.35,21.64668662,76.47317088,5.460144928
"Espirito Santo","Arabica",2.2,1082.4,25.79296351,81.55261211,7.624442793
"Espirito Santo","Robusta",7.5,1082.4,25.79296351,81.55261211,7.624442793
"Sao Paulo","Arabica",3.2,815.6,21.80066123,73.38155944,5.992165021
"Parana","Arabica",0.5,897.35,21.24788515,78.53802242,5.259280217
"Minas Gerais","Arabica",26.7,1055.9,21.2899802,76.86089369,5.709612188
"Espirito Santo","Arabica",3,1160.35,25.42129151,79.58113459,7.411980889
"Espirito Santo","Robusta",8.5,1160.35,25.42129151,79.58113459,7.411980889
"Sao Paulo","Arabica",5.9,858.45,20.96333678,76.99731868,5.981559805
"Parana","Arabica",2.6,928.1,20.53448566,77.84232457,5.266400293
"Minas Gerais","Arabica",14.4,1065.5,20.72839836,82.0923408,5.606169297
"Espirito Santo","Arabica",1.7,1255.8,24.56369989,80.55019732,7.526102941
"Espirito Santo","Robusta",6.2,1255.8,24.56369989,80.55019732,7.526102941
"Sao Paulo","Arabica",3.1,849.85,20.55668793,78.35679002,6.663234189
"Parana","Arabica",2.2,943.5,20.28440448,78.56637117,5.282465612
"Minas Gerais","Arabica",21.4,1016.8,21.01610031,83.2427003,5.617584852
"Espirito Santo","Arabica",2.5,1120.4,25.07189402,81.3156155,7.320284698
"Espirito Santo","Robusta",5.6,1120.4,25.07189402,81.3156155,7.320284698
"Sao Paulo","Arabica",4.9,858.3,20.80813511,77.25471163,5.803789379
"Parana","Arabica",2.6,902.8,20.77240982,79.25453429,5.384606783
"Minas Gerais","Arabica",16.3,944.1,20.80608704,78.45191902,4.752051048
"Espirito Santo","Arabica",2.2,1091.1,24.99430592,78.44929641,7.670509483
"Espirito Santo","Robusta",6.2,1091.1,24.99430592,78.44929641,7.670509483
"Sao Paulo","Arabica",3.3,860.475,21.07638229,75.21562097,5.191493097
"Parana","Arabica",1.8,940.6,20.49683761,77.13430029,5.151969146
"Minas Gerais","Arabica",23.7,992.9,22.04945586,66.05899868,5.187923213
"Espirito Santo","Arabica",2.2,1175,24.91422486,76.61288312,8.344757318
"Espirito Santo","Robusta",7.8,1175,24.91422486,76.61288312,8.344757318
"Sao Paulo","Arabica",4.9,899.175,21.87946275,71.09372462,5.312684114
"Parana","Arabica",2.5,965.8,20.4833114,75.4438973,5.612674732
"Sao Paulo","Arabica",3.1,1004.675,21.63203114,74.11694696,5.20167493
"Parana","Arabica",1.95,1014.5,20.09600729,75.40314453,5.767343005
"Minas Gerais","Arabica",25.55,1074,21.78091476,72.00559179,4.994995538
"Espirito Santo","Arabica",2.8,1167.3,25.65257551,74.78633064,7.679249707
"Espirito Santo","Robusta",9,1167.3,25.65257551,74.78633064,7.679249707
"Sao Paulo","Arabica",4.85,925.8,21.86334632,77.54365812,4.941898943
"Parana","Arabica",2.5,995.4,19.98613734,78.4986935,5.94385511
"Minas Gerais","Arabica",22.1,987.2,21.84735099,66.78319295,5.700360679
"Espirito Santo","Arabica",2.4,1117.35,24.75443308,77.91090797,7.603461841
"Espirito Santo","Robusta",8.2,1117.35,24.75443308,77.91090797,7.603461841
"Sao Paulo","Arabica",4.2,904,21.9967391,72.63418319,5.293531115
"Parana","Arabica",1.9,1019.6,19.79163009,75.89629006,6.607658086
"Minas Gerais","Arabica",28.5,1043.55,21.45529063,67.74898212,5.630103313
"Espirito Santo","Arabica",3.1,1158.1,24.04860517,79.39723141,6.883754918
"Espirito Santo","Robusta",8.4,1158.1,24.04860517,79.39723141,6.883754918
"Sao Paulo","Arabica",5,907.675,21.75457137,72.69654947,5.488526847
"Parana","Arabica",2.4,993,20.21274685,76.20988185,6.480555556
"Minas Gerais","Arabica",23.5,1078.9,21.53311693,66.36871886,5.744985138
"Espirito Santo","Arabica",2.7,1150.5,25.07201385,76.88862996,7.2507203
"Espirito Santo","Robusta",10.8,1150.5,25.07201385,76.88862996,7.2507203
"Sao Paulo","Arabica",4.1,975.9,22.06304218,71.24547799,5.324713547
"Parana","Arabica",1.9,1036.15,20.92103104,73.73301314,6.78809567
"Minas Gerais","Arabica",28.5,961,21.92643475,68.74690041,5.870781032
"Espirito Santo","Arabica",3,1151.5,24.88403243,77.52721909,6.885915808
"Espirito Santo","Robusta",11.8,1151.5,24.88403243,77.52721909,6.885915808
"Sao Paulo","Arabica",5.4,860.65,21.76395361,72.45780331,5.598107744
"Parana","Arabica",1.8,1036.3,20.2100477,77.34647583,6.589940032
"Minas Gerais","Arabica",29.4,1043.5,22.83810275,62.45366867,6.008172267
"Minas Gerais","Arabica",29.4,1043.5,22.83810275,62.45366867,6.008172267
"Espirito Santo","Arabica",3.5,1054.5,24.97572595,71.16844243,7.738672406
"Espirito Santo","Arabica",3.5,1054.5,24.97572595,71.16844243,7.738672406
"Espirito Santo","Robusta",12.3,1054.5,24.97572595,71.16844243,7.738672406
"Espirito Santo","Robusta",12.3,1054.5,24.97572595,71.16844243,7.738672406
"Sao Paulo","Arabica",4.6,1026.575,23.03199993,65.58914439,5.695102941
"Sao Paulo","Arabica",4.6,1026.575,23.03199993,65.58914439,5.695102941
"Parana","Arabica",1.7,1047.1,21.1150194,75.74187318,6.638310956
"Parana","Arabica",1.7,1047.1,21.1150194,75.74187318,6.638310956
"Minas Gerais","Arabica",26,1056.6,23.10025313,65.25989827,5.957197626
"Espirito Santo","Arabica",3.3,1111.9,24.74295815,73.5696407,8.201734368
"Espirito Santo","Robusta",13.1,1111.9,24.74295815,73.5696407,8.201734368
"Sao Paulo","Arabica",4.6,979,22.8212859,71.46511907,5.39095354
"Parana","Arabica",1,1050.9,21.07601418,77.63379448,6.392002819
"Minas Gerais","Arabica",25.3,999.55,22.81199643,65.9318714,5.958442117
"Espirito Santo","Arabica",3.1,1074.7,25.18494546,77.36523553,7.858999202
"Espirito Santo","Robusta",9.9,1074.7,25.18494546,77.36523553,7.858999202
"Sao Paulo","Arabica",4.3,972.525,22.09407228,71.3891644,5.492840416
"Parana","Arabica",1.2,1029.35,20.28855676,75.66432461,5.916193018
"Minas Gerais","Arabica",32.5,1108.2,22.35591251,64.18018484,6.318025279
"Espirito Santo","Arabica",3.8,1255.3,24.38542381,78.95009253,7.531985378
"Espirito Santo","Robusta",6.7,1255.3,24.38542381,78.95009253,7.531985378
"Sao Paulo","Arabica",5.9,993.8,22.33573665,70.15637561,5.569773539
"Parana","Arabica",1.1,1056.9,20.9908324,75.98997302,6.216850986
"Minas Gerais","Arabica",34.2,1093.5,23.03465139,64.00891586,5.92062996
"Espirito Santo","Arabica",4.7,1277,25.05167003,79.1107613,7.346881648
"Espirito Santo","Robusta",10.9,1277,25.05167003,79.1107613,7.346881648
"Sao Paulo","Arabica",6.5,893.35,22.72380747,70.75697143,5.443597587
"Parana","Arabica",1.2,1004,21.57220767,74.81766138,6.159388236
"Parana","Arabica",1.1,946.5,21.60961553,72.75499089,6.136498141
