State/Variety MY 01/02 MY 02/03 MY 03/04 MY 04/05,MY 05/06,MY 06/07,MY 07/08,MY 08/09
Minas Gerais 16.20 26.70 14.40 21.40,16.3,23.7,16.85,25.55
Southwest 8.50 15.00 7.40 11.50,7.3,13.5,8.4,14.25
Central-western 3.20 4.85 3.20 4.20,3.3,4.6,3.05,4.9
Southeast 4.50 6.85 3.80 5.70,5.7,5.6,5.4,6.4
Espirito Santo 9.70 11.50 7.90 8.10,8.4,10,10.4,11.8
Arabica 2.20 3.00 1.70 2.50,2.2,2.2,2.2,2.8
Robusta 7.50 8.50 6.20 5.60,6.2,7.8,8.2,9
Sao Paulo 3.20 5.90 3.10 4.90,3.3,4.9,3.1,4.85
Parana 0.50 2.60 2.20 2.60,1.8,2.5,1.95,2.5
Others 5.50 6.90 5.60 6.60,6.3,5.6,5.3,6.4
Arabica 2.30 3.40 2.20 2.90,2.4,2.7,2.2,2.8
Robusta 3.20 3.50 3.40 3.70,3.9,2.9,3.1,3.6
Total 35.10 53.60 33.20 43.60,36.1,46.7,37.6,51.1
Arabica 24.40 41.60 23.60 34.30,26,36,26.3,38.5
Robusta 10.70 12.00 9.60 9.30,10.1,10.7,11.3,12.6
Source: ATO/Sao Paulo.,,,,
