country,subdivision,type,million_60kgs_bag,year
Brazil,Minas Gerais,Arabica,28.5,2013
Brazil,Minas Gerais,Arabica,26.8,2014
Brazil,Minas Gerais,Arabica,22.1,2010
Brazil,Minas Gerais,Arabica,28.5,2011
Brazil,Minas Gerais,Arabica,23.5,2012
Brazil,Espirito Santo,Arabica,3.0,2013
Brazil,Espirito Santo,Arabica,3.3,2014
Brazil,Espirito Santo,Arabica,2.4,2010
Brazil,Espirito Santo,Arabica,3.1,2011
Brazil,Espirito Santo,Arabica,2.7,2012
Brazil,Espirito Santo,Robusta,11.8,2013
Brazil,Espirito Santo,Robusta,12.3,2014
Brazil,Espirito Santo,Robusta,8.2,2010
Brazil,Espirito Santo,Robusta,8.4,2011
Brazil,Espirito Santo,Robusta,10.8,2012
Brazil,Sao Paulo,Arabica,5.4,2013
Brazil,Sao Paulo,Arabica,4.7,2014
Brazil,Sao Paulo,Arabica,4.2,2010
Brazil,Sao Paulo,Arabica,5.0,2011
Brazil,Sao Paulo,Arabica,4.1,2012
Brazil,Parana,Arabica,1.8,2013
Brazil,Parana,Arabica,1.9,2014
Brazil,Parana,Arabica,1.9,2010
Brazil,Parana,Arabica,2.4,2011
Brazil,Parana,Arabica,1.9,2012
Brazil,Minas Gerais,Arabica,32.5,2017
Brazil,Minas Gerais,Arabica,29.1,2018
Brazil,Minas Gerais,Arabica,29.4,2014
Brazil,Minas Gerais,Arabica,26.0,2015
Brazil,Minas Gerais,Arabica,25.3,2016
Brazil,Espirito Santo,Arabica,3.8,2017
Brazil,Espirito Santo,Arabica,3.2,2018
Brazil,Espirito Santo,Arabica,3.5,2014
Brazil,Espirito Santo,Arabica,3.3,2015
Brazil,Espirito Santo,Arabica,3.1,2016
Brazil,Espirito Santo,Robusta,6.7,2017
Brazil,Espirito Santo,Robusta,7.2,2018
Brazil,Espirito Santo,Robusta,12.3,2014
Brazil,Espirito Santo,Robusta,13.1,2015
Brazil,Espirito Santo,Robusta,9.9,2016
Brazil,Sao Paulo,Arabica,5.9,2017
Brazil,Sao Paulo,Arabica,4.4,2018
Brazil,Sao Paulo,Arabica,4.6,2014
Brazil,Sao Paulo,Arabica,4.6,2015
Brazil,Sao Paulo,Arabica,4.3,2016
Brazil,Parana,Arabica,1.1,2017
Brazil,Parana,Arabica,1.3,2018
Brazil,Parana,Arabica,1.7,2014
Brazil,Parana,Arabica,1.0,2015
Brazil,Parana,Arabica,1.2,2016
Brazil,Minas Gerais,Arabica,28.3,2018
Brazil,Minas Gerais,Arabica,34.2,2019
Brazil,Minas Gerais,Arabica,29.1,2020
Brazil,Minas Gerais,Arabica,34.8,2021
Brazil,Minas Gerais,Arabica,24.5,2022
Brazil,Minas Gerais,Arabica,28.5,2023
Brazil,Espirito Santo,Arabica,3.3,2018
Brazil,Espirito Santo,Arabica,4.7,2019
Brazil,Espirito Santo,Arabica,3.9,2020
Brazil,Espirito Santo,Arabica,4.8,2021
Brazil,Espirito Santo,Arabica,3.7,2022
Brazil,Espirito Santo,Arabica,4.4,2023
Brazil,Espirito Santo,Robusta,7.3,2018
Brazil,Espirito Santo,Robusta,10.9,2019
Brazil,Espirito Santo,Robusta,12.9,2020
Brazil,Espirito Santo,Robusta,14.3,2021
Brazil,Espirito Santo,Robusta,15.7,2022
Brazil,Espirito Santo,Robusta,16.6,2023
Brazil,Sao Paulo,Arabica,4.3,2018
Brazil,Sao Paulo,Arabica,6.5,2019
Brazil,Sao Paulo,Arabica,5.4,2020
Brazil,Sao Paulo,Arabica,6.4,2021
Brazil,Sao Paulo,Arabica,4.6,2022
Brazil,Sao Paulo,Arabica,5.1,2023
Brazil,Parana,Arabica,1.3,2018
Brazil,Parana,Arabica,1.2,2019
Brazil,Parana,Arabica,1.1,2020
Brazil,Parana,Arabica,1.1,2021
Brazil,Parana,Arabica,1.0,2022
Brazil,Parana,Arabica,0.8,2023
